babbage,pi,log:2,gamma
Thread Count: 1,Avg. Sec: 15.205 (Avg. Min: 0.254),Avg. Sec: 41.424 (Avg. Min: 0.69),Avg. Sec: 373.119 (Avg. Min: 6.219)
Thread Count: 2,Avg. Sec: 5.428 (Avg. Min: 0.09),Avg. Sec: 14.319 (Avg. Min: 0.239),Avg. Sec: 131.158 (Avg. Min: 2.186)
Thread Count: 3,Avg. Sec: 5.35 (Avg. Min: 0.089),Avg. Sec: 14.538 (Avg. Min: 0.242),Avg. Sec: 132.01 (Avg. Min: 2.2)
Thread Count: 4,Avg. Sec: 4.102 (Avg. Min: 0.068),Avg. Sec: 11.354 (Avg. Min: 0.189),Avg. Sec: 103.775 (Avg. Min: 1.729)
Thread Count: 5,Avg. Sec: 4.247 (Avg. Min: 0.071),Avg. Sec: 11.575 (Avg. Min: 0.193),Avg. Sec: 105.956 (Avg. Min: 1.766)
Thread Count: 6,Avg. Sec: 4.372 (Avg. Min: 0.073),Avg. Sec: 11.656 (Avg. Min: 0.194),Avg. Sec: 103.75 (Avg. Min: 1.729)
Thread Count: 7,Avg. Sec: 4.006 (Avg. Min: 0.067),Avg. Sec: 11.005 (Avg. Min: 0.183),Avg. Sec: 102.228 (Avg. Min: 1.704)
Thread Count: 8,Avg. Sec: 3.959 (Avg. Min: 0.066),Avg. Sec: 10.842 (Avg. Min: 0.181),Avg. Sec: 100.053 (Avg. Min: 1.668)
Thread Count: 9,Avg. Sec: 4.295 (Avg. Min: 0.071),Avg. Sec: 11.172 (Avg. Min: 0.186),Avg. Sec: 104.543 (Avg. Min: 1.742)
Thread Count: 10,Avg. Sec: 4.101 (Avg. Min: 0.068),Avg. Sec: 11.25 (Avg. Min: 0.188),Avg. Sec: 103.296 (Avg. Min: 1.722)
Thread Count: 11,Avg. Sec: 4.016 (Avg. Min: 0.067),Avg. Sec: 11.056 (Avg. Min: 0.184),Avg. Sec: 102.019 (Avg. Min: 1.7)
Thread Count: 12,Avg. Sec: 4.078 (Avg. Min: 0.068),Avg. Sec: 11.23 (Avg. Min: 0.187),Avg. Sec: 102.518 (Avg. Min: 1.709)
Thread Count: 13,Avg. Sec: 4.138 (Avg. Min: 0.069),Avg. Sec: 11.384 (Avg. Min: 0.19),Avg. Sec: 103.571 (Avg. Min: 1.726)
Thread Count: 14,Avg. Sec: 4.154 (Avg. Min: 0.069),Avg. Sec: 11.595 (Avg. Min: 0.193),Avg. Sec: 108.194 (Avg. Min: 1.803)
Thread Count: 15,Avg. Sec: 4.846 (Avg. Min: 0.081),Avg. Sec: 12.131 (Avg. Min: 0.202),Avg. Sec: 106.417 (Avg. Min: 1.774)
Thread Count: 16,Avg. Sec: 4.27 (Avg. Min: 0.071),Avg. Sec: 12.386 (Avg. Min: 0.207),Avg. Sec: 109.73 (Avg. Min: 1.829)
